2025 - Tender Sebutharga Summary,,,,,,,Awarded to Gaia,PO from dealer,Cancelled,,,,,
No ,Starting Date,Due Date,Institutions/University,Reference No,Bidding Title,SalesPerson,Product Brand,Product Model,Amount Value,Submitted Date,Submission Method,Success,Winning Company,Remark
80,"17 March, 2025","21 March, 2025",UKM,NETSDP202506177,"MEMBEKAL , MENGHANTAR, MEMASANG, MENGUJI SEHINGGA BERFUNGI SERTA MENTAULIAH SATU UNIT THREE POINT MULTI-POSITION HOT PLATE STIRRER KE MAKMAL FAKULTI FARMASI, UKM KAMPUS KUALA LUMPUR. [PERUNTUKAN: PKP168]",Suzanna,Dlab,Magnetic Hotplate Stirrer,"RM5,800.00","20 March, 2025",Online Bidding,,,
81,"17 March, 2025","21 March, 2025",UKM,NETSDP202506208,"MEMBEKAL, MEMASANG, MENGHANTAR DAN MENGUJI TAULIAH 7 UNIT ALAT ELECTRONIC BALANCE (3 DECIMAL POINTS) KE MAKMAL AMALAN FARMASI, UKM KAMPUS JALAN RAJA MUDA, KUALA LUMPUR. KOD PROJEK:PKP168",Suzanna,Ohaus,PX523 Precision Balance,"RM30,450.00","20 March, 2025",Online Bidding,No,,
82,"14 March, 2025","21 March, 2025",UKM ,"	NETSDP202506029",PERKHIDMATAN DAN PENYELENGGARAAN PERALATAN AUTOCLAVE SEBANYAK 20 UNIT PERLU DIBUAT BAGI MEMATUHI KEPERLUAN PERATURAN YANG DIKUATKUASA OLEH JABATAN KESELAMATAN DAN KESIHATAN PEKERJAAN MALAYSIA (DOSH MALAYSIA),Izad,"Hirayama, Tommy, Tomy & Astell","Hirayama HVE-50, Hirayama HVE-51, Hirayama HVE 500, Tommy SX700, Tomy SS-325 & Astell","RM21,000.00","21 March, 2025",Online Bidding,No,SAS SCIENTIFIC SOLUTION,
83,"20 March, 2025","21 March, 2025",UKM,NETSDP202506468,"MEMBEKAL PERKHIDMATAN PENYELENGGARAAN UNTUK 2 UNIT BIOSAFETY CABINET DI PUSAT KAJIAN TOKSIKOLOGI DAN RISIKO KESIHATAN, FSK, UKM KKL MENGGUNAKAN DANA PENYELENGGARAAN UKM. [DPG-2024-05]",Zul,Nuaire & Bioair,,"RM16,000.00","21 March, 2025",Online Bidding,No,SAS SCIENTIFIC SOLUTION,
84,"17 March, 2025","24 March, 2025",UKM,NETSDP202506136,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJITAULIAH ALAT PENYELIDIKAN DI MAKMAL PUSAT BIOTEKNOLOGI TUMBUHAN PBT INBIOSIS: GENERAL/COMMERCIAL DISPLAY CHILLER (RP5)
",Suzanna,Mether,MPC-1006 Refrigerator,"RM18,400.00","24 March, 2025",Online Bidding,No,,
85,"24 March, 2025","26 March, 2025",UKM,NETSDP202506373,"MEMBEKAL, MENGHANTAR DAN MENGUJI UV SPECTROPHOTOMETER UNTUK KEGUNAAN PROGRAM SAINS PEMAKANAN MENGGUNAKAN PERUNTUKAN RP5 RMK12",Gan Wan Han,Hitachi,U-5100 UV/VIS spectrophotometer (220V),"RM29,000","24 March, 2025",Online Bidding,No,"BIOMICS SOLUTION SDN BHD
",
86,"19 March, 2025","27 March, 2025",UKM,NETSDP202506285,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJI ALAT PENYELIDIKAN DI MAKMAL INBIOSIS: TWO PAN BALANCE (RP5)",Suzanna,Ohaus,Mechanical Balance,"RM8,700.00","25 March, 2025",Online Bidding,,,
87,"21 March, 2025","26 March, 2025",UKM,NETSDP202506539,PENYELENGGARAAN ALAT PENYELIDIKAN DI MAKMAL INBIOSIS : PLANT GROWTH CHAMBER (DPG),Izad,,Percival Plant Growth Chamber,"RM5,350.00","25 March, 2025",Online Bidding,Yes,,
88,"21 March, 2025","4 April, 2025",BHG. BIOSEKURITI TUMBUHAN KUALA LUMPUR,QT250000000009081,"SEBUTHARGA PEMBEKALAN MICROWAVE DIGESTER DI MAKMAL DAUN, BAJA DAN TANAH BAHAGIAN PERKHIDMATAN MAKMAL",Megan,CEM,Mars 6,"RM185,000.00","26 March, 2025",Online Bidding,No,TAAT BESTARI SDN. BHD.,
89,"24 March, 2025","26 March, 2025",UKM,NETSDP202506796 ,"MEMBEKAL,MENGHANTAR DAN MENTAULIAHGUNA INFRARED MICROINCINERATOR MENGGUNAKAN PERUNTUKAN PROJEK PENYELENGGARAAN FASILITI USANG (RP5 RMK12) - PKP169 KE JAB. MIKROBIOLOGI & IMUNOLOGI PERUBATAN, ARAS 10 BANGUNAN PRAKLINIKAL, HCTM",Suzanna,WLD-Tec,Sterimax,"RM4,500.00","26 March, 2025",Online Bidding,No,,
90,"13 March, 2025","27 March, 2025",UPM,"SH027/2025/7515403/UPMS	","SEBUTHARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJILARI DAN MENTAULIAH SATU *1* UNIT ULTRA LOW FREEZER, SEMBILAN *9* UNIT CHILLER, LIMA *5* UNIT DEEP FREEZER DAN SATU *1* UNIT REFRIGERATOR DI FAKULTI PERHUTANAN DAN ALAM SEKITAR UNIVERSITI PUTRA MALAYSIA, SERDANG, SELANGOR DARUL EHSAN *RMKe-12 PEROLEHAN PERLATAN MAKMAL PENGAJARAN DAN PENYELIDIKAN*",Choi,Mether,Multiple Items,"RM193,850.00","26 March, 2025",Online Bidding,,,
91,"25 March, 2025","27 March, 2025",UITM,UiTM/B2/PER/PT/B/0325/0111,"CADANGAN MEMBEKAL DAN MENGHANTAR RADAS SERTA PERALATAN MAKMAL PENGAJARAN SAINS KE FAKULTI PENDIDIKAN, KAMPUS UiTM PUNCAK ALAM, CAWANGAN SELANGOR.",ET Lim,Dlab/Rocker,Magnetic stirrer & Vacuum pump,"RM6,660.00","27 March, 2025",Online Bidding,,,
92,"12 March, 2025","7 April, 2025",IIUM,IIUM/KOP/01/2025,"TENDER TO SUPPLY COMPLETELY FUNCTIONAL LABORATORY EQUIPMENT AND FURNITURE TO KULLIYYAH OF PHARMACY, INTERNATIONAL ISLAMIC UNIVERSITY MALAYSIA, KUANTAN CAMPUS",Huda,,Multiple Items,"RM3,063,100.00","7 April, 2025",Hardcopy by Hand,Yes,,"PO from multiple dealer for Hitachi(RM118 000,Labwit (RM80,000), Logos (RM22 000)"
93,"7 April, 2025","11 April, 2025",UTAR,MK FMHS.RFQ.25.043,Preventive Maintenance for Tomy Autoclaves,Izad,,PPM Tomy Autoclaves,"RM3,600.00","11 April, 2025",Email,,,
94,"7 April, 2025","11 April, 2025",UTAR,MK FMHS.RFQ.25.045,"1. Preventive Maintenance for Nikon Inverted Microscope TS100
2. Preventive Maintenance for Nikon Inverted Microscope TS2
3. Preventive Maintenance for Nikon Stereo Microscope",Izad,,PPM Nikon Microscope,"RM3,965.00","11 April, 2025",Email,,,
95,"7 April, 2025","11 April, 2025",UTAR,MK FMHS.RFQ.25.044,"1. Preventive maintenance for Zeiss Inverted Microscope
2. Preventive maintenance of Zeiss Light Microscope",Izad,,PPM Zeiss Microscope,"RM1,105.00","11 April, 2025",Email,,,
96,"10 April, 2025","14 April, 2025",USM,USMPT/INDUK/25/07225,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MELAKUKAN COMMISIONING 'ULTRASONIC WASHER' KE UNIT PEMBEKALAN ALATAN STERIL, PUSAT PERUBATAN USM BERTAM, IPPT. (ASIAH @ RAMZAH ISMAIL)",Choi,Soltec,Ultrasonic Washer,"RM13,560.00","14 April, 2025",Online Bidding,No,REINTECH SDN BHD,
97,"11 March, 2025","16 April, 2025",MPOB,001880,Pembelian Perkhidmatan Penyelenggaraan Pencegahan Untuk 3 Unit Laminar Flow Cabinet dan 1 Unit Biosafety Cabinet,Zul,,BSC / Laminar FLow,"RM2,150.00","15 April, 2025",Online Bidding,,,
98,"8 April, 2025","22 April, 2025",UMT,PT03/UMT/PPPL/2025,"SEBUT HARGA (PEMBELIAN TERUS) BAGI MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENUGASMULA   NITROGEN EVAPORATOR BAGI KEGUNAAN MAKMAL DI PUSAT PERKHIDMATAN PENYELIDIKAN DAN LAPANGAN, UNIVERSITI MALAYSIA TERENGGANU.",Huda,Organomation,N-EVAP 12 Position,"RM30,000.00","16 April, 2025",Hardcopy by Hand,Yes,,
99,"16 April, 2025","23 April, 2025",UKM,NETSDP202508036,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJI ALAT PENYELIDIKAN DI MAKMAL PUSAT BIOTEKNOLOGI TUMBUHAN PBT INBIOSIS: OVEN (RP5)",Suzanna,Memmert,Oven,"RM34,500.00","17 April, 2025",Online Bidding,No,COPENS SCIENTIFIC (M) SDN BHD,
100,"10 April, 2025","17 April, 2025",UKM,NETSS202500079,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENTAULIAH GUNA INSTRUMEN POLYMER MIROCASTING SYSTEM DI INSTITUT KEJURUTERAAN MIKRO DAN NANOELEKTRONIK (IMEN), UNIVERSITI KEBANGSAAN MALAYSIA.",Shahrul,,Multiple Item,"RM198,400.00","16 April, 2025",Online Bidding,Yes,,
101,"15 April, 2025","18 April, 2025",UKM,NETSDP202507881,"PERKHIDMATAN PENYELENGGARAAN, PEMERIKSAAN DAN BAIK PULIH PERALATAN BIOBASE FUMEHOOD BAGI MAKMAL PATOLOGI MULUT JDKB, FAKULTI PERGIGIAN JALAN RAJA MUDA ABD AZIZ UKM. N.P JDKB/OP 17 /25",Zul,,Biobase Fumehood,RM600.00,"17 April, 2025",Online Bidding,No,PRIOR ACTIVE WORK,
102,"15 April, 2025","18 April, 2025",MPOB,2600,Perolehan Kelengkapan Makmal 1000uL Pipet tips Loose Pack blue Untuk Kegunaan Kajian di Unit Patologi Tumbuhan dan Biosekuriti,Choi,Labselect,1000ul pipet tips,RM240.00,"18 April, 2025",Online Bidding,,,
103,"10 April, 2025","20 April, 2025",Unisza,UniSZA.400-5/1/3 Jld. 11 : 2025-03,"PEMBEKALAN PERALATAN MAKMAL UMUM 2025 DI PUSAT PENGURUSAN MAKMAL BERPUSAT, UNIVERSITI SULTAN ZAINAL ABIDIN UniSZA, TERENGGANU",Suzanna,,Multiple items,"RM682,850.00","18 April, 2025",Online Bidding,No,"Integrated Envirotech Sdn Bhd, Geliga Sistem Sdn Bhd, Alfa Diagnostik Sdn Bhd, Teraslab Saintifik Sdn Bhd, Permula Sdn Bhd, Medic Dot Com Sdn Bhd",
104,"14 April, 2025","19 April, 2025",UKM,NETSDP202507916,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENTAULIAH GUNA INKUBATOR KARBON DIOKSIDA (CO2) KE JABATAN FISIOLOGI FAKULTI PERUBATAN, KAMPUS CHERAS KUALA LUMPUR MENGGUNAKAN PERUNTUKAN PKP 169 (PROJEK PENYELENGGARAAN FASILITI USANG :RP5 RMK12).",ET Lim,Healforce,CO2 Incubator,"RM24,700.00","18 April, 2025",Online Bidding,No,,
104,"8 May, 2025","9 May, 2025",INSTITUT KESIHATAN NEGARA,SQ250000000412555 ,SQ: Aset : LUNA-IIITM Automated Cell Counter Brand: Logos Biosystem P/N: L60001,ET Lim,Logos Biosystems,Luna-III,"RM16,800.00","8 May, 2025",Online Bidding,Yes,,
105,"24 March, 2025","23 April, 2025",MPOB,2225,Penyelenggaraan Biohazard Safety Cabinet,Zul,Nuaire,Sach Balance,"RM5,350.00","22 April, 2025",Online Bidding,Yes,,
105,"6 May, 2025","9 May, 2025",UKM,NETSDP202509353,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAHGUNA ALAT PENYELIDIKAN DI MAKMAL INBIOSIS: PCR THERMAL CYCLER (RP5)",Suzanna,Blueray,Turbocycler 2,"RM18,750.00","9 May, 2025",Online Bidding,No,MEDILIANCE (M) SDN BHD,
106,"13 March, 2025","23 April, 2025",MPOB,1949,Repair and Maintenance Laminar Air Flow Cabinet,Zul,,,"RM4,050.00","22 April, 2025",Online Bidding,,,
106,"2 May, 2025","14 May, 2025","IPHARM, NIBM",NIBM-IPH/PRC/RFQ/01/2025-001,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI SATU (1) UNIT SISTEM HAEMATOLOGY ANALYZER DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,TooToo Meditech,Haematology Analyser,"RM66,750.00","13 May, 2025",Hardcopy by Hand,,,
107,"24 April, 2025","25 April, 2025",UKM,NETSDP202508601,MEMBEKAL DAN MENGHANTAR VACUUM PUMP UNTUK KEPERLUAN PENYELIDIKAN DENGAN MENGGUNAKAN PERUNTUKAN FRGS/1/2023/TK08/UKM/02/4 ( CUT ULFAH / PEER MOHAMED ),Gan Wan Han,Wiggens,V300 Vacuum Pump,"RM1,850.00","24 April, 2025",Online Bidding,No,BIOTEK ABADI SDN BHD,
107,"6 May, 2025","13 May, 2025",UKM,NETSDP202509369,"JSBB-10 MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJILARI PERALATAN 'DRYING OVEN' MENGGUNAKAN DANA RP5 RMK12 BAGI KEPERLUAN PENYELIDIKAN DI JABATAN SAINS BIOLOGI DAN BIOTEKNOLOGI, FST",Amanina,Memmert,Oven,"RM14,900.00","13 May, 2025",Online Bidding,No,"COPENS SCIENTIFIC (M) SDN BHD
",
108,"17 April, 2025","25 April, 2025",JKM,QT250000000010792,"Membekal Dan Menghantar Peralatan Saintifik ke Jabatan Kimia Malaysia, Petaling Jaya Selangor",Huda,,Multiple items,"RM52,750.00","25 April, 2025",Online Bidding,No,,
108,"5 May, 2025","11 May, 2025",UKM,NETSDP202509188,PERKHIDMATAN KALIBRASI DRYING OVEN MEMMERT MAKMAL GEOTEKNIK 1 JABATAN KEJURUTERAAN AWAM FKAB MENGGUNAKAN PERUNTUKAN: PENGURUSAN. (N.P:JKA:115/2025),Izad,Memmert,Drying Oven,"RM1,700.00","11 May, 2025",Online Bidding,No,"ALPHA INSTRUMENTATION SDN BHD
",
109,"24 April, 2025","28 April, 2025",UKM,NETSDP202508623,"MEMBEKAL DAN MENGHANTAR BAHAN KIMIA MAKMAL UNTUK DR. AKIDAH/ QAHIERA MENGGUNAKAN PERUNTUKAN RA-2025-001, INSTITUT SEL FUEL UKM",Isyraf,KceraCell,"SDC20-N, 500g","RM5,980.00","28 April, 2025",Online Bidding,Yes,,
110,"24 April, 2025","28 April, 2025",UM,Y/Y101/2025/04/184,Pembekalan Bahan Kimia bagi Tujuan Penyelidikan,Huda,Sigma Aldrich,Chemicas,"RM25,695.00","28 April, 2025",Online Bidding,,,
111,"23 April, 2025","28 April, 2025",UKM,NETSDP202508596,"MEMBEKAL,MENGHANTAR DAN MENTAULIAHGUNA INFRARED MICROINCINERATOR MENGGUNAKAN PERUNTUKAN PROJEK PENYELENGGARAAN FASILITI USANG (RP5 RMK12) - PKP169 KE JAB. MIKROBIOLOGI & IMUNOLOGI PERUBATAN, ARAS 10 BANGUNAN PRAKLINIKAL, HCTM",ET Lim,Rocker Scientific,Dragon 300,"RM23,000.00","28 April, 2025",Online Bidding,No,"BENUA SAINS SDN BHD
",
112,"22 April, 2025","28 April, 2025",UTAR Sg Long,FMHS.RFQ.25.062,Preventive maintenance for Refrigerated Microcentrifuge ,Arif,Kubota,Kubota 3500,RM750.00,"28 April, 2025",Email,,,
113,"22 April, 2025","28 April, 2025",UTAR Sg Long,MK FMHS.RFQ.25.055,Preventive maintenance for Biosafety Cabinet,Zul,Thermo Scientific,1384-G,RM700.00,"28 April, 2025",Email,,,
114,"29 April, 2025","2 May, 2025",UM,M/M27/2025/04/5077,UNTUK MENJALANKAN PENYELENGGARAN KEATAS SEUNIT C02 INCUBATOR DI MAKMAL JABATAN SAINS BIOPERUBATAN FAKULTI PERUBATAN UNIVERSITI MALAYA,Zul,Nuaire,NU4750E,"RM1,800.00","29 April, 2025",Online Bidding,Yes,,
115,"29 April, 2025","2 May, 2025",UKM,NETSDP202508830,"PERKHIDMATAN PENYELENGGARAAN ALAT CEM DISCOVER 2.0 MICROWAVE SYNTHESIZER DI MAKMAL FAKULTI FARMASI, UKM, JALAN RAJA MUDA ABD AZIZ, KUALA LUMPUR. [KETUA GERAN : PM DR LAM, GERAN: TDF08221615]",Shadzrin,CEM,DISCOVER 2.0 MICROWAVE,"RM1,600.00","29 April, 2025",Online Bidding,Yes,,
116,"22 April, 2025","30 April, 2025",UTAR Kampar,FEGT/ENV/2025/M007,To do service and preventive maintenance prior to JKKP certificate renewal Autoclave ,Izad,Hirayama,HVE-50,"RM1,300.00","30 April, 2025",Email,,,
117,"22 April, 2025","30 April, 2025",UTAR Kampar,FEGT/ENV/2025/M005,To do yearly certification of 1 unit Biosafety cabinet,Zul,,"Biosafety cabinet 
AC2-4E8","RM1,000.00","30 April, 2025",Email,,,
118,"21 April, 2025","1 May, 2025",USM,USMPT/HOSPITAL USM/25/08276,KERJA-KERJA PENYELENGGARAAN DAN PERSIJILAN SEMULA BIOLOGICAL SAFETY CABINET DI HOSPITAL PAKAR USM,Zul,,Biosafety Cabinet,"RM20,000.00","30 April, 2025",Online Bidding,No,SETIAMED RESOURCES,
119,"29 April, 2025","2 May, 2025",UKM,NETSDP202508875,"MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS CANTILEVER UNTUK ALAT AFM NX-10 DI MAKMAL I-CRIM, ALAF-UKM",Isyraf,Park Systems,Cantilever for AFM ,"RM11,100.00","30 April, 2025",Online Bidding,Yes,,
120,"24 April, 2025","2 May, 2025",IMR,QT250000000011590,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGTAULIAH DAN MENYENGGARA (DALAM TEMPOH JAMINAN) - TIGA(3) UNIT CO2 INCUBATOR DI INSTITUT PENYELIDIKAN PERUBATAN (IMR), INSTITUT KESIHATAN NEGARA (NIH), SETIA ALAM, SELANGOR
",ET Lim,Nuaire,CO2 Incubator,"RM156,150.00","1 May, 2025",Online Bidding,No,Saksama Medik Sdn Bhd,
121,"30 April, 2025","5 May, 2025",UM,D/J83/2025/04/1757,"TDR CMBRL - Pembelian 1 unit Mini Centrifuge untuk Makmal CMBRL, Fakulti Pergigian",ET Lim,Allsheng,Mini Centrifuge,RM900.00,"1 May, 2025",Online Bidding,Yes,,
122,"30 April, 2025","8 May, 2025",UKM,NETSDP202509009,"MEMBEKAL DAN MENGHANTAR TIPS RAININ 1000UL KE UNIT HEMOSTASIS KHUSUS,JPMD,HCTM",ET Lim,Mettler Toledo,Rainin Tips,"RM2,990.00","5 May, 2025",Online Bidding,No,"LABSYSTEM SCIENTIFIC PRODUCTS
",
123,"6 May, 2025","8 May, 2025",UKM,NETSDP202509276,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS PENYELIDIKAN ELISA KIT KE JABATAN FARMAKOLOGI MENGGUNAKAN GERAN FF-2024-298. KETUA GERAN PM DR. CHIN KOK YONG,ET Lim,ELK Biotech,Elisa Kit,"RM2,900.00","6 May, 2025",Online Bidding,No,"WAN CARE SCIENTIFIC SDN BHD
",
124,"2 May, 2025","6 May, 2025",MAKMAL VETERINAR ZON TENGAH,SQ250000000390313,"KERJA-KERJA PENYELENGGARAAN BIOSAFETY CABINET, FUMEHOOD DAN LAMINAR FLOW DI MVZT",Zul,,"BSC, FH & LF","RM4,800.00","5 May, 2025",Online Bidding,,,
125,"22 April, 2025","13 May, 2025",UNIKL RCMP,UNIKL/T/RCMP/RMK12-RP5/2025/002,"CADANGAN PEROLEHAN BAGI MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJIGUNA DAN MENTAULIAH PERALATAN- PERALATAN UNTUK PUSAT ANALISIS DAN KAJIAN TOKSISITI DI FAKULTI FARMASI DAN SAINS KESIHATAN BAGI TAHUN 2025 DI UNIVERSITI KUALA LUMPUR ROYAL COLLEGE OF MEDICINE PERAK (UNIKL RCMP)",Megan,"Hitachi, CEM",AAS & Microwave digester,"RM608,000.00","13 May, 2025",Hardcopy by Hand,,,
126,"7 May, 2025","14 May, 2025",Makmal Veterinar Zon Timur,QT250000000014326,"MEMBEKAL, MENGHANTAR, MENURUNKAN, MEMASANG DAN MENGUJI LARI BAGI PERALATAN PENGUJIAN SAMPEL UNTUK KEGUNAAN MAKMAL VETERINAR ZON TIMUR (PAHANG).
",Amanina,,Multiple items,"RM78,940.00","13 May, 2025",Online Bidding,No,PCHEM SUPPLY & SERVICES SDN. BHD.,REXIMIUS SDN BHD
127,"8 May, 2025","14 May, 2025",USM,USMPT/INDUK/25/09142(S1),MEMBEKALKAN BARANG KEPERLUAN MAKMAL DI PPSKH - DR. AMIRA SURIATY,Choi,Himedia,Consumables,"RM3,145.00","14 May, 2025",Online Bidding,Yes,,
128,"13 May, 2025","16 May, 2025",UM,D/J83/2025/04/1798,"TDR CMBRL-PEMBELIAN ULTRA-PURE WATER SYSTEM DI MAKMAL CMBRL, FAKULTI PERGIGIAN, UNIVERSITI MALAYA",ET Lim,Adrona,Q-Fron N,"RM24,800.00","15 May, 2025",Online Bidding,Yes,,
129,"14 May, 2025","15 May, 2025",UKM,"	NETSDP202509994","MENJALANKAN PERKHIDMATAN PENYELENGGARAAN PETI AIS BAGI PUSAT KAJIAN CODTIS, FSK, UKM (KELULUSAN MBFSK BIL. 4/2025)",Rafeeq,,Freezer multiple brand,"RM7,700.00","15 May, 2025",Online Bidding,No,"PRIOR ACTIVE WORK
",
130,"19 May, 2025","20 May, 2025",UKM ,NETSDP202510140,"PERKIDMATAN SERVIS,KALIBRASI & MENGUJI ALATAN BIOSAFTY CABINET DI MAKMAL RAWATAN HAIWAN FAKULTI FARMASI UKM KL. MENGGUNAKAN DANA DPG-2024-03",Zul,,PPM Biosafety Cabinet,RM700.00,"20 May, 2025",Online Bidding,No,"MYLAB SCIENTIFIC SDN BHD
",
131,"20 May, 2025","22 May, 2025",UKM,NETSDP202510447,MEMBEKAL DAN MENGHANTAR BAHAN PAKIA HABIS KE JABATAN FARMAKOLOGI UNUTK PENYELIDIKAN MENGGUNAKAN GERAN FRGS/1/2023/SKK10/UKM/02/3. KETUA GERAN TS DR WONG SOK KUAN,Amanina,OZ Bioscience,SilenceMag,"RM2,680.00","22 May, 2025",Online Bidding,Yes,,
132,"9 May, 2025","23 May, 2025",IPHARM-NIBM,NIBM-IPH/PRC/RFQ/03/2025-003,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI GENERAL LAB EQUIPMENT, NECROPSY DOWNDRAFT TABLE DAN DECON GENERATOR BAGI MAKMAL BIOKESELAMATAN HAIWAN KELAS III (ABSL-III) DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,,Multiple Items,"RM499,490.00","23 May, 2025",Hardcopy by Hand,,,
133,"21 May, 2025","23 May, 2025",COSMX,ZB-202505190004,Muffle Furnaces & Ovens,Megan,,Oven & furnace,"RM51,000.00","23 May, 2025",Online Bidding,Yes,,
134,"23 May, 2025","26 May, 2025",UM,G8/G802/2025/01/1256,PV062-2024 - Supplies and Consumable (vot 27000) -2025,ET Lim,Mettler Toledo,Pipettes,"RM10,770.00","23 May, 2025",Online Bidding,Yes,,
135,"19 May, 2025","26 May, 2025",UKM,NETSS202500131,"SEBUTHARGA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJITAULIAH PERALATAN PENGAJARAN DAN PENYELIDIKAN AUTOMATED RECIRCULATING AQUACULTURE ZEBRAFISH SYSTEM, UNTUK KEGUNAAN JABATAN ANATOMI, FAKULTI PERUBATAN, UKM KAMPUS KUALA LUMPUR",ET Lim,Gendanio,Zebrafish System,"RM73,800.00","26 May, 2025",Online Bidding,Yes,,*DMB Kembara Sdn Bhd
136,"26 May, 2025","28 May, 2025",USM ,USMPT/INDUK/25/10949,PLAN PREVENTIVE MAINTENANCE (PPM) BIOLOGICAL SAFETY CABINET AND FUME HOOD,Zul,,PPM 10unit BSC & 3unit Fume Hood,"RM8,700.00","26 May, 2025",Online Bidding,No,MY LABORATORIES & SERVICES,
137,"26 May, 2025","27 May, 2025",MPOB,1744,"Pemohonan Perolehan Satu Unit Alatan Penyelidikan Scientific Industries Si™ Disruptor Genie™ Digital Cell Disruptor Tujuan untuk Pengekstrakan DNA - Analisa Amplikon dan Kerja Molekular lain bagi Kajian Ganoderma in Peat Soil Management, Soil Fingerprinting, Soil Characteristic and Oil Palm Nutrients di Makmal Sessang Sarawak",Choi,Scientific Industries,Disruptor Genie,"RM4,720.00","27 May, 2025",Online Bidding,,,
138,"27 May, 2025","27 May, 2025",COSMX,ZB-202505260006,Kakuhunter_SK-300S?,Megan,Shashin Kagaku,Kakuhunter SK-300S II,"RM39,500.00","27 May, 2025",Online Bidding,Yes,,
139,"21 May, 2025","30 May, 2025",Boustead Life Science Research Sdn Bhd,RFQ-BEA-25-0033,To purchase one (1) unit of Vertical Autoclave Machine for Boustead Life Sciences Research Sdn Bhd,Choi,ALP,Autoclave,"RM43,750.00","29 May, 2025",Online Bidding,,,
140,"15 May, 2025","1 June, 2025",UMT,UMT/SH73/2025,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENUGASMULA PERALATAN MAKMAL MICROWAVE DIGESTER BAGI KEGUNAAN MAKMAL UNIVERSITI MALAYSIA TERENGGANU (UMT)",Huda,CEM,Mars 6,"RM298,000.00","1 June, 2025",Hardcopy by Hand,,,
141,"29 May, 2025","3 June, 2025",UM,K/K08/2025/05/2117,UMG001 Supplies & Other Materials B27000,Hock Seng,Multiple Items,Multiple Items,"RM3,500.00","3 June, 2025",Online Bidding,Yes,,
142,"22 May, 2025","10 June, 2025",UMT,UMT/SH76/2025,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENUGASMULA pH METER BAGI KEGUNAAN MAKMAL DI UNIVERSITI MALAYSIA TERENGGANU",Huda,Mettler Toledo,pH meter,"RM77,880.00","10 June, 2025",Hardcopy by Hand,,,
142,"16 May, 2025","5 June, 2025","IPHARM, NIBM",NIBM-IPH/PRC/TEN/03/2025-001,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI ANIMAL BIOLOGICAL SAFETY CABINET DAN MOBILE WORKSTATION BAGI MAKMAL BIOKESELAMATAN HAIWAN KELAS III (ABSL-III) DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM) ",Choi,Nuaire,Animal BSC,"RM349,960.00","5 June, 2025",Hardcopy by Hand,,,
143,"16 May, 2025","5 June, 2025","IPHARM, NIBM",NIBM-IPH/PRC/TEN/03/2025-002,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI BUILT-IN LAB EQUIPMENT (PASS THROUGH BOX AND DOUBLE DOOR AUTOCLAVE) BAGI MAKMAL BIOKESELAMATAN HAIWAN KELAS III (ABSL-III) DI 
INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM) ",Choi,Steelco,Autoclave,"RM715,300.00","5 June, 2025",Hardcopy by Hand,,,
